ID,code_du_bureau_de_vote,adresse_orig,nb_inscrits,logements_total,etages_moy,X,Y
187,7,61 BOULEVARD ALSACE LORRAINE,8,4.0,4.0,-1.4647849999999987,43.49232799999999
188,7,63 BOULEVARD ALSACE LORRAINE,5,1.0,1.0,-1.464638000000001,43.492229
189,6,64 BOULEVARD ALSACE LORRAINE,9,4.0,2.0,-1.464756,43.492023999999994
190,7,65 BOULEVARD ALSACE LORRAINE,2,1.0,1.0,-1.4645589999999995,43.492163000000005
191,6,66 BOULEVARD ALSACE LORRAINE,3,3.0,3.0,-1.464603,43.49192
192,7,67 BOULEVARD ALSACE LORRAINE,8,7.0,4.0,-1.464501,43.49212500000001
193,6,68 BOULEVARD ALSACE LORRAINE,3,0.0,,-1.464463,43.491821
194,7,69 BOULEVARD ALSACE LORRAINE,5,5.0,3.0,-1.464318,43.49200600000001
195,7,72 BOULEVARD ALSACE LORRAINE,2,1.0,1.0,-1.4639310000000005,43.491446999999994
196,7,78 BOULEVARD ALSACE LORRAINE,2,1.0,2.0,-1.4635760000000002,43.49119599999999
197,7,82 BOULEVARD ALSACE LORRAINE,6,2.0,2.0,-1.4633460000000005,43.491032000000004
198,7,86 BOULEVARD ALSACE LORRAINE,19,0.0,,-1.463143,43.490885999999996
199,21,5 CHEMIN D'AMADE,17,0.0,,-1.4756749999999994,43.505433
200,21,7 CHEMIN D'AMADE,30,23.0,5.0,-1.4753359999999989,43.504681999999995
201,21,9 CHEMIN D'AMADE,23,0.0,,-1.4758829999999996,43.50491700000001
202,21,12 CHEMIN D'AMADE,1,0.0,,-1.4765339999999998,43.504715999999995
203,21,14 CHEMIN D'AMADE,3,0.0,,-1.476383,43.50464300000001
204,8,1 RUE AMBROISE PARE,2,1.0,2.0,-1.4776419999999997,43.484061000000004
205,8,3 RUE AMBROISE PARE,2,1.0,2.0,-1.4777170000000004,43.48392100000001
206,8,4 RUE AMBROISE PARE,4,1.0,2.0,-1.4778679999999986,43.483872
207,8,5 RUE AMBROISE PARE,5,0.0,,-1.4778179999999999,43.48373299999999
208,8,6 RUE AMBROISE PARE,1,1.0,2.0,-1.4780019999999998,43.483641999999996
209,8,7 RUE AMBROISE PARE,3,1.0,2.0,-1.4779350000000004,43.483472000000006
210,8,8 RUE AMBROISE PARE,5,1.0,1.0,-1.4778180000000005,43.483358999999986
211,8,9 RUE AMBROISE PARE,3,1.0,2.0,-1.4773519999999996,43.483296
212,8,12 RUE AMBROISE PARE,1,1.0,1.0,-1.4771239999999997,43.48315000000001
213,5,3 QUAI AMIRAL ANTOINE SALA,2,2.0,3.0,-1.4713459999999994,43.495522000000015
214,2,15 QUAI AMIRAL DUBOURDIEU,3,0.0,1.0,-1.474653,43.491488999999994
215,2,17 QUAI AMIRAL DUBOURDIEU,4,3.0,5.0,-1.4746289999999997,43.49152499999999
216,3,27 QUAI AMIRAL JAUREGUIBERRY,1,8.0,5.0,-1.4751629999999993,43.48888600000001
217,3,35 QUAI AMIRAL JAUREGUIBERRY,1,7.0,5.0,-1.4751129999999988,43.48910500000001
218,1,3 RUE ANDRÉ BOUILLAR,5,7.0,4.0,-1.4773549999999986,43.493473999999985
219,14,2 RUE ANDRÉ ETCHEVERLEPO,1,1.0,2.0,-1.4943290000000002,43.486326000000005
220,14,3 RUE ANDRÉ ETCHEVERLEPO,1,1.0,2.0,-1.494235,43.486404
221,14,4 RUE ANDRÉ ETCHEVERLEPO,2,1.0,2.0,-1.4942170000000004,43.486349
222,14,6 RUE ANDRÉ ETCHEVERLEPO,2,1.0,1.0,-1.4940650000000004,43.48637599999999
223,14,8 RUE ANDRÉ ETCHEVERLEPO,1,1.0,2.0,-1.4939259999999994,43.48639800000001
224,14,10 RUE ANDRÉ ETCHEVERLEPO,2,1.0,2.0,-1.4938009999999982,43.486419000000005
225,14,14 RUE ANDRÉ ETCHEVERLEPO,3,1.0,2.0,-1.4935390000000015,43.48647100000001
226,14,16 RUE ANDRÉ ETCHEVERLEPO,1,1.0,2.0,-1.4934119999999995,43.48649
227,14,18 rue André Etcheverlepo,2,1.0,2.0,-1.4933629999999998,43.486608
228,27,1 AVENUE ANDRÉ HARAMBILLET,2,0.0,,-1.4530960000000002,43.498224999999984
229,26,2 AVENUE ANDRÉ HARAMBILLET,3,0.0,,-1.4526529999999993,43.497815
230,27,3 AVENUE ANDRÉ HARAMBILLET,15,0.0,,-1.4524159999999997,43.498203999999994
231,23,3 RUE ANDRÉ PERCHICOT,2,1.0,1.0,-1.4670900000000002,43.5092
232,25,4 RUE ANDRÉ PERCHICOT,1,1.0,2.0,-1.4672749999999994,43.509102000000006
233,25,6 RUE ANDRÉ PERCHICOT,1,1.0,1.0,-1.467027,43.509085999999996
234,23,7 RUE ANDRÉ PERCHICOT,1,1.0,1.0,-1.4666199999999994,43.50908299999997
235,25,8 RUE ANDRÉ PERCHICOT,1,1.0,1.0,-1.4667849999999998,43.50902399999999
236,23,9 RUE ANDRÉ PERCHICOT,2,1.0,1.0,-1.4663639999999993,43.50900799999999
